num_of_keys,interpolate_selector_time,pre_proving_time,pre_verifying_time,pre_proof_size,post_proving_time,post_verifying_proof_time,interpolating_balance_time,post_validating_balance_time,post_proof_size
256,7162,303145,289335,217,17692,6057,236,1379,2
256,8629,294296,295695,217,17710,6124,347,1454,2
256,6825,293730,297682,217,16197,2957,374,1245,2
256,6773,299250,310500,217,16655,6112,732,1356,2
256,7107,288687,294410,217,18173,6179,251,1362,2
256,6995,273144,292780,217,16115,2960,379,1229,2
256,7284,302346,298209,217,17056,6058,270,1361,2
256,7077,303194,298311,217,17147,3122,175,1224,2
256,6457,286400,293359,217,16544,2988,312,1224,2
256,7422,303458,320086,217,17081,2981,345,1253,2
512,8525,662923,580827,434,21412,2963,1119,1593,2
512,8377,679877,578191,434,22398,3016,770,1704,2
512,8587,657059,578659,434,21872,2943,709,1619,2
512,7780,693581,572828,434,20142,2968,1018,1542,2
512,8753,652155,572019,434,21597,6157,1560,1973,2
512,8124,645105,572551,434,21807,2977,724,1592,2
512,8003,642874,571153,434,21557,2986,506,1549,2
512,8804,678864,576068,434,21361,6056,795,2025,2
512,8197,647948,570602,434,21419,3092,440,1521,2
512,8434,663072,574341,434,21785,6081,510,1773,2
1024,9489,2021932,1138160,868,35769,3213,707,3017,2
1024,9111,2020244,1140591,868,35255,2995,564,2724,2
1024,10276,2017923,1144275,868,35558,6111,478,2874,2
1024,10272,2021602,1139813,868,34697,2976,446,3316,2
1024,10537,2042408,1150098,868,37611,2973,568,3441,2
1024,10415,2019749,1136165,868,34585,2945,412,3203,2
1024,10465,2013190,1139543,868,36178,2984,701,2987,2
1024,10146,2039991,1143136,868,37648,6134,403,3567,2
1024,11071,2024731,1135440,868,35496,2971,779,3132,2
1024,10512,2045040,1135183,868,35714,2951,688,2676,2
2048,13624,7288421,2273236,1736,54751,3545,470,5011,2
2048,14219,7589699,2299519,1736,56134,2989,690,4726,2
2048,13391,7318453,2269448,1736,56066,3106,569,4847,2
2048,13514,7371133,2268814,1736,57060,3054,616,6167,2
2048,12884,7585451,2276127,1736,55161,3138,409,5277,2
2048,13983,7307920,2275112,1736,55732,4727,471,4978,2
2048,14371,7300392,2266022,1736,57621,5851,862,7224,2
2048,14323,7620536,2268128,1736,53688,6182,718,7123,2
2048,13404,7175575,2273967,1736,57177,3229,1642,7024,2
2048,14230,7330052,2268903,1736,60141,3147,864,6694,2
4096,20041,26659195,4530357,3473,124413,3540,707,16176,2
4096,19463,26550265,4554661,3473,98083,3590,608,11731,2
4096,19830,26491012,4526917,3473,121554,6013,1448,11649,2
4096,19971,26584772,4539635,3473,113165,4733,716,17498,2
4096,19598,26482318,4533161,3473,100954,3268,917,9577,2
4096,20379,26579810,4520891,3473,108499,3499,739,11361,2
4096,21065,26631339,4544650,3473,113178,3467,1381,12325,2
4096,21346,26524406,4524760,3473,93431,3769,994,14182,2
4096,20826,26517858,4535063,3473,99371,3476,918,11744,2
4096,19477,26518434,4535527,3473,99508,4763,701,10975,2
8192,32499,97037227,9060386,6946,197223,3186,1183,26977,2
8192,33741,96886949,9066869,6946,205028,3339,1518,26277,2
8192,33363,96701663,9046592,6946,218936,3552,1081,18505,2
8192,32200,97378724,9055315,6946,242575,3377,1482,17641,2
8192,32626,97268632,9050832,6946,225155,3352,1046,35037,2
8192,34570,97208294,9062045,6946,212857,3196,1322,28289,2
8192,35117,97149738,9059153,6946,202809,2974,1116,19515,2
8192,32697,97183095,9056047,6946,215291,5284,1639,33889,2
8192,33110,97344313,9065931,6946,231149,5857,744,27126,2
8192,32849,97011268,9060608,6946,233384,3025,1411,31876,2
16384,56808,358084547,18097842,13893,426112,3004,2303,37415,2
16384,55613,359516605,18078117,13893,432455,2944,2069,35233,2
16384,56787,362778083,18224471,13893,383139,2931,1382,32315,2
32768,99700,1321592995,36367646,27787,643555,2992,1504,72123,2
65536,176354,4843564910,72306008,55574,1262163,2856,2027,128815,2
