num_of_users,num_of_bits,num_of_groups,committing_time,proving_time,verifying_time,proof_size,timestamp
1024,16,1,158482,78039,6294,4,2024-05-09 21-20-20.754276 -04-00
1024,32,1,297875,139794,7778,8,2024-05-09 21-47-17.858406300 -04-00
1024,64,1,563044,267229,11214,14,2024-05-09 16-45-23.461904800 -04-00
1024,64,1,562038,258321,11086,14,2024-05-09 20-18-25.796815300 -04-00
1024,64,1,570925,261452,11178,14,2024-05-09 20-18-36.657091800 -04-00
1024,64,1,569912,261888,11220,14,2024-05-09 20-18-39.042765400 -04-00
1024,64,1,567601,257974,11206,14,2024-05-09 20-18-41.645746800 -04-00
1024,64,1,577518,261975,11188,14,2024-05-09 20-18-43.735416100 -04-00
1024,64,1,569409,256488,11028,14,2024-05-09 20-18-45.975263200 -04-00
1024,64,1,575040,257395,11152,14,2024-05-09 20-18-48.403072300 -04-00
1024,64,1,579331,256342,11347,14,2024-05-09 20-18-50.349903800 -04-00
1024,64,1,577421,255452,11117,14,2024-05-09 20-18-52.610543700 -04-00
1048576,16,1,62910167,34983228,6496,4,2024-05-09 21-25-43.270296300 -04-00
1048576,32,1,106253037,62484120,7858,8,2024-05-09 21-36-32.776481600 -04-00
1048576,64,1,223738596,116732825,11326,14,2024-05-09 17-07-31.611478200 -04-00
1048576,64,1,223310082,116779296,11362,14,2024-05-09 17-16-47.788371100 -04-00
1048576,64,1,223320810,116739368,11457,14,2024-05-09 17-22-53.163290800 -04-00
1048576,64,1,223270467,116135648,11569,14,2024-05-09 17-29-14.313792900 -04-00
1048576,64,1,223201694,116375834,11529,14,2024-05-09 17-35-19.885910300 -04-00
1048576,64,1,223404973,115990373,11435,14,2024-05-09 17-41-36.345359100 -04-00
1048576,64,1,223819812,117935637,11505,14,2024-05-09 17-48-57.883381 -04-00
1048576,64,1,225494671,116176198,11959,14,2024-05-09 17-54-57.708902300 -04-00
1048576,64,1,223251734,116538566,11598,14,2024-05-09 18-01-54.970391500 -04-00
1048576,64,1,224031557,115686956,11309,14,2024-05-09 18-23-31.434234300 -04-00
131072,16,1,7642824,4790084,6277,4,2024-05-09 21-21-46.218269500 -04-00
131072,32,1,14175068,8618656,7921,8,2024-05-09 21-45-38.648370200 -04-00
131072,64,1,27351972,16041344,11193,14,2024-05-09 16-48-38.941494 -04-00
131072,64,1,27432177,16208887,11178,14,2024-05-09 20-30-52.044759900 -04-00
131072,64,1,27410875,16178982,11132,14,2024-05-09 20-31-40.492473700 -04-00
131072,64,1,27338339,16253323,11299,14,2024-05-09 20-32-28.862990900 -04-00
131072,64,1,27545189,16197914,11232,14,2024-05-09 20-33-18.032556800 -04-00
131072,64,1,27429385,16216730,11218,14,2024-05-09 20-34-11.549619300 -04-00
131072,64,1,27392480,16016580,11314,14,2024-05-09 20-35-03.069829600 -04-00
131072,64,1,27360483,16288706,11179,14,2024-05-09 20-35-52.547631600 -04-00
131072,64,1,27484768,16141395,11258,14,2024-05-09 20-36-40.766944800 -04-00
131072,64,1,27382247,16144925,11122,14,2024-05-09 20-37-31.588615700 -04-00
16384,16,1,1227519,780487,6216,4,2024-05-09 21-21-04.570124500 -04-00
16384,32,1,2308176,1402372,8106,8,2024-05-09 21-46-49.704503700 -04-00
16384,64,1,4375227,2653219,11384,14,2024-05-09 16-46-23.645586700 -04-00
16384,64,1,4382887,2650590,11358,14,2024-05-09 20-21-45.581771100 -04-00
16384,64,1,4386362,2642458,11286,14,2024-05-09 20-21-54.560840800 -04-00
16384,64,1,4362004,2636907,11315,14,2024-05-09 20-22-03.748391300 -04-00
16384,64,1,4371422,2651698,11283,14,2024-05-09 20-22-12.490845900 -04-00
16384,64,1,4354829,2640928,11331,14,2024-05-09 20-22-21.171131300 -04-00
16384,64,1,4378057,2648482,11125,14,2024-05-09 20-22-30.207053100 -04-00
16384,64,1,4364313,2639866,11228,14,2024-05-09 20-22-39.532815700 -04-00
16384,64,1,4380993,2649756,11242,14,2024-05-09 20-22-49.098826400 -04-00
16384,64,1,4377721,2651869,11262,14,2024-05-09 20-22-57.818898600 -04-00
2048,16,1,256518,133205,6188,4,2024-05-09 21-20-35.188289800 -04-00
2048,32,1,476567,250986,7885,8,2024-05-09 21-47-11.818802500 -04-00
2048,64,1,921435,439460,11162,14,2024-05-09 16-45-33.424295700 -04-00
2048,64,1,915481,449256,11155,14,2024-05-09 20-19-13.673383400 -04-00
2048,64,1,911630,451344,11131,14,2024-05-09 20-19-16.470945 -04-00
2048,64,1,914101,450690,11243,14,2024-05-09 20-19-19.449458300 -04-00
2048,64,1,929958,451671,11097,14,2024-05-09 20-19-22.207467300 -04-00
2048,64,1,928096,443080,11199,14,2024-05-09 20-19-24.817359600 -04-00
2048,64,1,930697,450841,11167,14,2024-05-09 20-19-27.639872300 -04-00
2048,64,1,915672,443796,11129,14,2024-05-09 20-19-30.646340700 -04-00
2048,64,1,913686,448844,11313,14,2024-05-09 20-19-33.814155100 -04-00
2048,64,1,905007,452774,11222,14,2024-05-09 20-19-40.787878100 -04-00
262144,16,1,15131162,9121843,6145,4,2024-05-09 21-22-21.685508500 -04-00
262144,32,1,28238291,16641497,7962,8,2024-05-09 21-42-16.270295300 -04-00
262144,64,1,53729894,30760483,11292,14,2024-05-09 16-50-17.159057700 -04-00
262144,64,1,54208448,31217607,11199,14,2024-05-09 20-15-08.260411 -04-00
262144,64,1,54345698,31387598,11306,14,2024-05-09 20-16-38.978185100 -04-00
262144,64,1,54138310,31097669,11161,14,2024-05-09 20-18-11.539254900 -04-00
262144,64,1,54383865,30928228,11106,14,2024-05-09 20-40-42.353532800 -04-00
262144,64,1,54119505,31170114,11143,14,2024-05-09 20-42-16.735640600 -04-00
262144,64,1,54219581,30964293,11379,14,2024-05-09 20-43-49.987027600 -04-00
262144,64,1,54257543,31335369,11146,14,2024-05-09 20-45-20.807610200 -04-00
262144,64,1,54243297,31041384,11368,14,2024-05-09 20-46-53.054609200 -04-00
262144,64,1,54545978,31243886,11299,14,2024-05-09 20-48-26.063306100 -04-00
32768,16,1,2189343,1427092,6213,4,2024-05-09 21-21-12.322690 -04-00
32768,32,1,4119254,2567665,7914,8,2024-05-09 21-46-40.202304900 -04-00
32768,64,1,7883641,4848012,11213,14,2024-05-09 16-47-05.663122 -04-00
32768,64,1,7837534,4836428,11147,14,2024-05-09 20-23-23.120090900 -04-00
32768,64,1,7875092,4858668,11116,14,2024-05-09 20-23-38.378788800 -04-00
32768,64,1,7912526,4871334,11099,14,2024-05-09 20-23-53.259780 -04-00
32768,64,1,7899780,4885872,11126,14,2024-05-09 20-24-08.947416200 -04-00
32768,64,1,7972917,4865161,11073,14,2024-05-09 20-24-25.078971400 -04-00
32768,64,1,7902401,4832622,11157,14,2024-05-09 20-24-41.351541900 -04-00
32768,64,1,7850072,4776035,11186,14,2024-05-09 20-24-57.496176800 -04-00
32768,64,1,7882546,4852363,11259,14,2024-05-09 20-25-13.616761 -04-00
32768,64,1,7888506,4837022,11135,14,2024-05-09 20-25-33.516259200 -04-00
4096,16,1,394220,223552,6234,4,2024-05-09 21-20-47.135141800 -04-00
4096,32,1,734974,407527,7927,8,2024-05-09 21-47-01.976569200 -04-00
4096,64,1,1373950,751854,11190,14,2024-05-09 16-45-46.420536300 -04-00
4096,64,1,1404203,754935,11210,14,2024-05-09 20-19-48.737160400 -04-00
4096,64,1,1399090,751701,11220,14,2024-05-09 20-19-52.676666100 -04-00
4096,64,1,1393092,740724,11135,14,2024-05-09 20-19-56.802665600 -04-00
4096,64,1,1412125,744174,11146,14,2024-05-09 20-20-00.499117500 -04-00
4096,64,1,1419563,753538,11153,14,2024-05-09 20-20-03.958759900 -04-00
4096,64,1,1420899,754026,11186,14,2024-05-09 20-20-07.369395600 -04-00
4096,64,1,1393325,747299,11116,14,2024-05-09 20-20-10.918363 -04-00
4096,64,1,1403367,755030,11129,14,2024-05-09 20-20-14.236571300 -04-00
4096,64,1,1418809,745642,11093,14,2024-05-09 20-20-17.565316300 -04-00
524288,16,1,30131633,17647245,6511,4,2024-05-09 21-23-25.682284700 -04-00
524288,32,1,56377823,31615979,7914,8,2024-05-09 21-40-46.352742100 -04-00
524288,64,1,107720003,58785643,11278,14,2024-05-09 16-53-16.373647700 -04-00
524288,64,1,107973776,58972406,11198,14,2024-05-09 18-26-53.941721300 -04-00
524288,64,1,110178188,58769390,11239,14,2024-05-09 18-30-31.661686200 -04-00
524288,64,1,108061749,58699218,11383,14,2024-05-09 18-33-36.173187700 -04-00
524288,64,1,108625476,59750520,11504,14,2024-05-09 19-58-11.424821800 -04-00
524288,64,1,108751004,59494476,11240,14,2024-05-09 20-01-09.862805100 -04-00
524288,64,1,108627382,59592392,11218,14,2024-05-09 20-04-09.170921200 -04-00
524288,64,1,109143361,59661375,11275,14,2024-05-09 20-07-06.230386400 -04-00
524288,64,1,108947821,59469608,11280,14,2024-05-09 20-10-02.681677200 -04-00
524288,64,1,108543179,59473720,11404,14,2024-05-09 20-13-06.272639500 -04-00
65536,16,1,3998292,2513954,6347,4,2024-05-09 21-21-25.202369900 -04-00
65536,32,1,7384866,4567085,7828,8,2024-05-09 21-46-18.654724500 -04-00
65536,64,1,14143988,8551138,11144,14,2024-05-09 16-47-44.806511400 -04-00
65536,64,1,14246254,8506255,11134,14,2024-05-09 20-26-04.745437600 -04-00
65536,64,1,14246333,8564891,11340,14,2024-05-09 20-26-33.123108400 -04-00
65536,64,1,14256421,8581475,11170,14,2024-05-09 20-27-00.844095700 -04-00
65536,64,1,14391747,8599089,11115,14,2024-05-09 20-27-28.201260800 -04-00
65536,64,1,14227368,8506669,11119,14,2024-05-09 20-27-54.188917900 -04-00
65536,64,1,14233940,8514963,11138,14,2024-05-09 20-28-20.704175700 -04-00
